,start_year,end_year,parties_involved,title,description,Country,conflict_range
52,2024,2024,Democratic Republic of the Congo; government forces; M23 rebels; various armed groups,Eastern Congo Conflict,"Escalation of violence in the eastern regions, involving multiple armed groups and causing significant displacement.",various armed groups,2024 - 2024
53,2021,2024,Mozambique; government forces; RENAMO Military Junta,RENAMO Insurgency,"A splinter group from RENAMO resumed armed attacks, challenging the peace agreement.",Mozambique,2021 - 2024
53,2021,2024,Mozambique; government forces; RENAMO Military Junta,RENAMO Insurgency,"A splinter group from RENAMO resumed armed attacks, challenging the peace agreement.",government forces,2021 - 2024
53,2021,2024,Mozambique; government forces; RENAMO Military Junta,RENAMO Insurgency,"A splinter group from RENAMO resumed armed attacks, challenging the peace agreement.",RENAMO Military Junta,2021 - 2024
54,2010,2011,Côte d'Ivoire; government forces; Rebels,Second Ivorian Civil War,"Following disputed presidential elections in Côte d'Ivoire, violence erupted between forces loyal to incumbent President Laurent Gbagbo and those supporting Alassane Ouattara. The conflict resulted in significant casualties and displacement.",Côte d'Ivoire,2010 - 2011
54,2010,2011,Côte d'Ivoire; government forces; Rebels,Second Ivorian Civil War,"Following disputed presidential elections in Côte d'Ivoire, violence erupted between forces loyal to incumbent President Laurent Gbagbo and those supporting Alassane Ouattara. The conflict resulted in significant casualties and displacement.",government forces,2010 - 2011
54,2010,2011,Côte d'Ivoire; government forces; Rebels,Second Ivorian Civil War,"Following disputed presidential elections in Côte d'Ivoire, violence erupted between forces loyal to incumbent President Laurent Gbagbo and those supporting Alassane Ouattara. The conflict resulted in significant casualties and displacement.",Rebels,2010 - 2011
55,2000,2008,"Colombia; FARC (Revolutionary Armed Forces of Colombia), paramilitary groups, drug cartels",Colombian Armed Conflict,"Escalated fighting involving the government, leftist guerrillas, and right-wing paramilitary groups, particularly over drug trade and rural control.",Colombia,2000 - 2008
55,2000,2008,"Colombia; FARC (Revolutionary Armed Forces of Colombia), paramilitary groups, drug cartels",Colombian Armed Conflict,"Escalated fighting involving the government, leftist guerrillas, and right-wing paramilitary groups, particularly over drug trade and rural control.","FARC (Revolutionary Armed Forces of Colombia), paramilitary groups, drug cartels",2000 - 2008
56,1998,2000,Ecuador; Peru,Cenepa War Resolution,"A conflict over a border dispute in the Cordillera del Cóndor region. It formally ended with the Brasilia Peace Accords in 1998, but tensions persisted.",Ecuador,1998 - 2000
56,1998,2000,Ecuador; Peru,Cenepa War Resolution,"A conflict over a border dispute in the Cordillera del Cóndor region. It formally ended with the Brasilia Peace Accords in 1998, but tensions persisted.",Peru,1998 - 2000
57,2001,2001,"Argentina; IMF, domestic groups",Argentine Economic Crisis,"Widespread protests and riots due to economic collapse, involving clashes with the government over austerity measures and debt to the IMF.",Argentina,2001 - 2001
57,2001,2001,"Argentina; IMF, domestic groups",Argentine Economic Crisis,"Widespread protests and riots due to economic collapse, involving clashes with the government over austerity measures and debt to the IMF.","IMF, domestic groups",2001 - 2001
58,2002,2002,"Venezuela; domestic opposition groups, labor unions",Venezuelan Coup Attempt,"A short-lived coup against President Hugo Chávez, resulting in his removal and reinstatement within two days.",Venezuela,2002 - 2002
58,2002,2002,"Venezuela; domestic opposition groups, labor unions",Venezuelan Coup Attempt,"A short-lived coup against President Hugo Chávez, resulting in his removal and reinstatement within two days.","domestic opposition groups, labor unions",2002 - 2002
59,2004,2004,"Bolivia; domestic protestors, indigenous groups",Bolivian Gas Conflict,"Violent protests over plans to export natural gas through Chile, leading to political instability and the resignation of President Gonzalo Sánchez de Lozada.",Bolivia,2004 - 2004
59,2004,2004,"Bolivia; domestic protestors, indigenous groups",Bolivian Gas Conflict,"Violent protests over plans to export natural gas through Chile, leading to political instability and the resignation of President Gonzalo Sánchez de Lozada.","domestic protestors, indigenous groups",2004 - 2004
60,2005,2005,"Bolivia; domestic protestors, indigenous groups",Bolivian Water War,"Protests in Cochabamba over water privatization, leading to government rollbacks after violent confrontations with demonstrators.",Bolivia,2005 - 2005
60,2005,2005,"Bolivia; domestic protestors, indigenous groups",Bolivian Water War,"Protests in Cochabamba over water privatization, leading to government rollbacks after violent confrontations with demonstrators.","domestic protestors, indigenous groups",2005 - 2005
61,2007,2007,"Colombia; Ecuador, FARC",Colombian-Ecuadorian Border Dispute,Diplomatic tensions after Colombia’s cross-border attack against FARC in Ecuadorian territory.,Colombia,2007 - 2007
61,2007,2007,"Colombia; Ecuador, FARC",Colombian-Ecuadorian Border Dispute,Diplomatic tensions after Colombia’s cross-border attack against FARC in Ecuadorian territory.,"Ecuador, FARC",2007 - 2007
62,2000,2000,Paraguay; domestic military factions,2000 Paraguayan Coup Attempt,An attempted coup d'état by a faction of the Paraguayan military aiming to overthrow President Luis González Macchi. The coup was unsuccessful.,Paraguay,2000 - 2000
62,2000,2000,Paraguay; domestic military factions,2000 Paraguayan Coup Attempt,An attempted coup d'état by a faction of the Paraguayan military aiming to overthrow President Luis González Macchi. The coup was unsuccessful.,domestic military factions,2000 - 2000
63,2005,2024,Paraguay; Paraguayan People's Army (EPP),Paraguayan People's Army Insurgency,"An ongoing insurgency by the EPP, a leftist guerrilla group, involving kidnappings and attacks against security forces",Paraguay,2005 - 2024
63,2005,2024,Paraguay; Paraguayan People's Army (EPP),Paraguayan People's Army Insurgency,"An ongoing insurgency by the EPP, a leftist guerrilla group, involving kidnappings and attacks against security forces",Paraguayan People's Army (EPP),2005 - 2024
64,2007,2007,"Venezuela; domestic protestors, media organizations",2007 RCTV Protests,"Mass protests following the government's decision not to renew the broadcast license of Radio Caracas Televisión (RCTV), citing its alleged support of the 2002 coup attempt.",Venezuela,2007 - 2007
64,2007,2007,"Venezuela; domestic protestors, media organizations",2007 RCTV Protests,"Mass protests following the government's decision not to renew the broadcast license of Radio Caracas Televisión (RCTV), citing its alleged support of the 2002 coup attempt.","domestic protestors, media organizations",2007 - 2007
65,2008,2008,"Colombia; Ecuador, FARC",2008 Andean Diplomatic Crisis,"Diplomatic tensions arose after Colombia's military conducted a cross-border raid into Ecuador to target FARC rebels, leading to a temporary severance of diplomatic relations between Colombia and Ecuador.",Colombia,2008 - 2008
65,2008,2008,"Colombia; Ecuador, FARC",2008 Andean Diplomatic Crisis,"Diplomatic tensions arose after Colombia's military conducted a cross-border raid into Ecuador to target FARC rebels, leading to a temporary severance of diplomatic relations between Colombia and Ecuador.","Ecuador, FARC",2008 - 2008
66,2010,2024,"Venezuela; domestic opposition groups, international actors",Crisis in Venezuela,"A multifaceted crisis involving economic collapse, political unrest, and humanitarian issues, leading to mass migration and international diplomatic tensions.",Venezuela,2010 - 2024
66,2010,2024,"Venezuela; domestic opposition groups, international actors",Crisis in Venezuela,"A multifaceted crisis involving economic collapse, political unrest, and humanitarian issues, leading to mass migration and international diplomatic tensions.","domestic opposition groups, international actors",2010 - 2024
67,2016,2024,"Colombia; ELN (National Liberation Army), dissident FARC factions",Colombian Armed Conflict Post-2016,"Despite the 2016 peace agreement with FARC, violence continues with ELN and FARC dissident groups, involving drug trafficking and territorial control.",Colombia,2016 - 2024
67,2016,2024,"Colombia; ELN (National Liberation Army), dissident FARC factions",Colombian Armed Conflict Post-2016,"Despite the 2016 peace agreement with FARC, violence continues with ELN and FARC dissident groups, involving drug trafficking and territorial control.","ELN (National Liberation Army), dissident FARC factions",2016 - 2024
68,2023,2024,Guyana; Venezuela,Guyana–Venezuela Crisis,"Escalation of the long-standing territorial dispute over the Essequibo region, intensified by oil discoveries and Venezuela's referendum asserting claims over the area.",Guyana,2023 - 2024
68,2023,2024,Guyana; Venezuela,Guyana–Venezuela Crisis,"Escalation of the long-standing territorial dispute over the Essequibo region, intensified by oil discoveries and Venezuela's referendum asserting claims over the area.",Venezuela,2023 - 2024
69,2024,2024,"Ecuador; domestic drug cartels, criminal gangs",Ecuadorian Drug War,"Increasing violence and instability due to the rise of drug cartels and criminal gangs, leading to government crackdowns and military deployments.",Ecuador,2024 - 2024
69,2024,2024,"Ecuador; domestic drug cartels, criminal gangs",Ecuadorian Drug War,"Increasing violence and instability due to the rise of drug cartels and criminal gangs, leading to government crackdowns and military deployments.","domestic drug cartels, criminal gangs",2024 - 2024
70,2001,2021,"United States; Taliban, Al-Qaeda, NATO allies, Afghan government",War in Afghanistan,"Initiated after the September 11 attacks, the U.S. led a NATO coalition to dismantle Al-Qaeda and remove the Taliban from power in Afghanistan.",United States,2001 - 2021
70,2001,2021,"United States; Taliban, Al-Qaeda, NATO allies, Afghan government",War in Afghanistan,"Initiated after the September 11 attacks, the U.S. led a NATO coalition to dismantle Al-Qaeda and remove the Taliban from power in Afghanistan.","Taliban, Al-Qaeda, NATO allies, Afghan government",2001 - 2021
71,2003,2011,"United States; Iraq, coalition allies",Iraq War,"The U.S., along with coalition forces, invaded Iraq to overthrow Saddam Hussein's regime, citing the threat of weapons of mass destruction.",United States,2003 - 2011
71,2003,2011,"United States; Iraq, coalition allies",Iraq War,"The U.S., along with coalition forces, invaded Iraq to overthrow Saddam Hussein's regime, citing the threat of weapons of mass destruction.","Iraq, coalition allies",2003 - 2011
72,2006,2024,"Mexico; various drug cartels, Mexican government",Mexican Drug War,"The Mexican government launched a large-scale operation against drug cartels, leading to prolonged violence and instability.",Mexico,2006 - 2024
72,2006,2024,"Mexico; various drug cartels, Mexican government",Mexican Drug War,"The Mexican government launched a large-scale operation against drug cartels, leading to prolonged violence and instability.","various drug cartels, Mexican government",2006 - 2024
73,2004,2004,"Haiti; rebel groups, Haitian government, international forces",2004 Haitian Coup d'État,Armed rebellion led to the ousting of President Jean-Bertrand Aristide; international peacekeepers were deployed to restore order.,Haiti,2004 - 2004
73,2004,2004,"Haiti; rebel groups, Haitian government, international forces",2004 Haitian Coup d'État,Armed rebellion led to the ousting of President Jean-Bertrand Aristide; international peacekeepers were deployed to restore order.,"rebel groups, Haitian government, international forces",2004 - 2004
74,2010,2010,"Jamaica; Jamaican government, criminal organizations",2010 Kingston Unrest,"A government operation to arrest drug lord Christopher ""Dudus"" Coke resulted in violent clashes in Kingston.",Jamaica,2010 - 2010
74,2010,2010,"Jamaica; Jamaican government, criminal organizations",2010 Kingston Unrest,"A government operation to arrest drug lord Christopher ""Dudus"" Coke resulted in violent clashes in Kingston.","Jamaican government, criminal organizations",2010 - 2010
75,2011,2011,"United States; Libyan government, NATO allies",2011 Military Intervention in Libya,The U.S. participated in NATO-led operations enforcing a no-fly zone during the Libyan Civil War.,United States,2011 - 2011
75,2011,2011,"United States; Libyan government, NATO allies",2011 Military Intervention in Libya,The U.S. participated in NATO-led operations enforcing a no-fly zone during the Libyan Civil War.,"Libyan government, NATO allies",2011 - 2011
76,2014,2024,"United States; ISIS, coalition allies",Operation Inherent Resolve,A U.S.-led coalition conducted military operations against ISIS in Iraq and Syria.,United States,2014 - 2024
76,2014,2024,"United States; ISIS, coalition allies",Operation Inherent Resolve,A U.S.-led coalition conducted military operations against ISIS in Iraq and Syria.,"ISIS, coalition allies",2014 - 2024
77,2018,2024,"Haiti; various armed gangs, Haitian government",Haitian Crisis,Escalating gang violence and political instability have led to humanitarian crises and calls for international intervention.,Haiti,2018 - 2024
77,2018,2024,"Haiti; various armed gangs, Haitian government",Haitian Crisis,Escalating gang violence and political instability have led to humanitarian crises and calls for international intervention.,"various armed gangs, Haitian government",2018 - 2024
78,2021,2024,"United States; various African nations, terrorist groups",Operation Enduring Sentinel,U.S. mission focusing on counterterrorism operations in Afghanistan and surrounding regions following the withdrawal of U.S. troops.,United States,2021 - 2024
78,2021,2024,"United States; various African nations, terrorist groups",Operation Enduring Sentinel,U.S. mission focusing on counterterrorism operations in Afghanistan and surrounding regions following the withdrawal of U.S. troops.,"various African nations, terrorist groups",2021 - 2024
79,2020,2021,"United States; various African nations, terrorist groups",Operation Octave Quartz,U.S. operation to reposition forces in East Africa and support counterterrorism efforts in the region.,United States,2020 - 2021
79,2020,2021,"United States; various African nations, terrorist groups",Operation Octave Quartz,U.S. operation to reposition forces in East Africa and support counterterrorism efforts in the region.,"various African nations, terrorist groups",2020 - 2021
80,2017,2019,"United States; Philippines, ISIS-affiliated groups",Marawi Crisis,U.S. provided assistance to Philippine forces during the battle to retake Marawi from ISIS-affiliated militants.,United States,2017 - 2019
80,2017,2019,"United States; Philippines, ISIS-affiliated groups",Marawi Crisis,U.S. provided assistance to Philippine forces during the battle to retake Marawi from ISIS-affiliated militants.,"Philippines, ISIS-affiliated groups",2017 - 2019
81,2014,2024,"United States; various African nations, terrorist groups",Operation Observant Compass,U.S. mission to support African Union forces in countering the Lord's Resistance Army in Central Africa.,United States,2014 - 2024
81,2014,2024,"United States; various African nations, terrorist groups",Operation Observant Compass,U.S. mission to support African Union forces in countering the Lord's Resistance Army in Central Africa.,"various African nations, terrorist groups",2014 - 2024
82,2004,2017,"United States; various African nations, terrorist groups",Operation Enduring Freedom – Horn of Africa,U.S. military operations aimed at countering terrorism and promoting stability in the Horn of Africa region.,United States,2004 - 2017
82,2004,2017,"United States; various African nations, terrorist groups",Operation Enduring Freedom – Horn of Africa,U.S. military operations aimed at countering terrorism and promoting stability in the Horn of Africa region.,"various African nations, terrorist groups",2004 - 2017
83,2000,2001,"United States; Serbia, Kosovo Liberation Army, NATO allies",Kosovo Conflict,The U.S. participated in NATO-led peacekeeping operations in Kosovo following the 1999 conflict to maintain stability in the region.,United States,2000 - 2001
83,2000,2001,"United States; Serbia, Kosovo Liberation Army, NATO allies",Kosovo Conflict,The U.S. participated in NATO-led peacekeeping operations in Kosovo following the 1999 conflict to maintain stability in the region.,"Serbia, Kosovo Liberation Army, NATO allies",2000 - 2001
84,1999,2003,Australia; East Timor; Indonesia; United Nations,East Timor Crisis,"	Following East Timor's vote for independence from Indonesia in 1999, violence erupted. Australia led the International Force for East Timor (INTERFET) to restore peace and facilitate the transition to independence.",Australia,1999 - 2003
84,1999,2003,Australia; East Timor; Indonesia; United Nations,East Timor Crisis,"	Following East Timor's vote for independence from Indonesia in 1999, violence erupted. Australia led the International Force for East Timor (INTERFET) to restore peace and facilitate the transition to independence.",East Timor,1999 - 2003
84,1999,2003,Australia; East Timor; Indonesia; United Nations,East Timor Crisis,"	Following East Timor's vote for independence from Indonesia in 1999, violence erupted. Australia led the International Force for East Timor (INTERFET) to restore peace and facilitate the transition to independence.",Indonesia,1999 - 2003
84,1999,2003,Australia; East Timor; Indonesia; United Nations,East Timor Crisis,"	Following East Timor's vote for independence from Indonesia in 1999, violence erupted. Australia led the International Force for East Timor (INTERFET) to restore peace and facilitate the transition to independence.",United Nations,1999 - 2003
85,2006,2013,Australia; East Timor; New Zealand; Malaysia; Portugal,Operation Astute,Australia deployed forces to East Timor to address internal conflict and support stability following political unrest and violence.,Australia,2006 - 2013
85,2006,2013,Australia; East Timor; New Zealand; Malaysia; Portugal,Operation Astute,Australia deployed forces to East Timor to address internal conflict and support stability following political unrest and violence.,East Timor,2006 - 2013
85,2006,2013,Australia; East Timor; New Zealand; Malaysia; Portugal,Operation Astute,Australia deployed forces to East Timor to address internal conflict and support stability following political unrest and violence.,New Zealand,2006 - 2013
85,2006,2013,Australia; East Timor; New Zealand; Malaysia; Portugal,Operation Astute,Australia deployed forces to East Timor to address internal conflict and support stability following political unrest and violence.,Malaysia,2006 - 2013
85,2006,2013,Australia; East Timor; New Zealand; Malaysia; Portugal,Operation Astute,Australia deployed forces to East Timor to address internal conflict and support stability following political unrest and violence.,Portugal,2006 - 2013
86,2003,2017,Australia; Solomon Islands; New Zealand; Pacific Island nations,Regional Assistance Mission to Solomon Islands (RAMSI),"In response to civil unrest and lawlessness in the Solomon Islands, Australia led a regional intervention to restore order and rebuild governance structures.",Australia,2003 - 2017
86,2003,2017,Australia; Solomon Islands; New Zealand; Pacific Island nations,Regional Assistance Mission to Solomon Islands (RAMSI),"In response to civil unrest and lawlessness in the Solomon Islands, Australia led a regional intervention to restore order and rebuild governance structures.",Solomon Islands,2003 - 2017
86,2003,2017,Australia; Solomon Islands; New Zealand; Pacific Island nations,Regional Assistance Mission to Solomon Islands (RAMSI),"In response to civil unrest and lawlessness in the Solomon Islands, Australia led a regional intervention to restore order and rebuild governance structures.",New Zealand,2003 - 2017
86,2003,2017,Australia; Solomon Islands; New Zealand; Pacific Island nations,Regional Assistance Mission to Solomon Islands (RAMSI),"In response to civil unrest and lawlessness in the Solomon Islands, Australia led a regional intervention to restore order and rebuild governance structures.",Pacific Island nations,2003 - 2017
87,2006,2006,Australia; Tonga; New Zealand,Tonga Riots Intervention,"After riots in Nukuʻalofa, Australia, alongside New Zealand, deployed police and military personnel to assist the Tongan government in restoring order. ",Australia,2006 - 2006
87,2006,2006,Australia; Tonga; New Zealand,Tonga Riots Intervention,"After riots in Nukuʻalofa, Australia, alongside New Zealand, deployed police and military personnel to assist the Tongan government in restoring order. ",Tonga,2006 - 2006
87,2006,2006,Australia; Tonga; New Zealand,Tonga Riots Intervention,"After riots in Nukuʻalofa, Australia, alongside New Zealand, deployed police and military personnel to assist the Tongan government in restoring order. ",New Zealand,2006 - 2006
88,2014,2018,Australia; Iraq; United States; Coalition partners,Operation Okra,"Australia contributed air and ground forces to the international coalition against ISIS in Iraq and Syria, conducting airstrikes and training local forces.",Australia,2014 - 2018
88,2014,2018,Australia; Iraq; United States; Coalition partners,Operation Okra,"Australia contributed air and ground forces to the international coalition against ISIS in Iraq and Syria, conducting airstrikes and training local forces.",Iraq,2014 - 2018
88,2014,2018,Australia; Iraq; United States; Coalition partners,Operation Okra,"Australia contributed air and ground forces to the international coalition against ISIS in Iraq and Syria, conducting airstrikes and training local forces.",United States,2014 - 2018
88,2014,2018,Australia; Iraq; United States; Coalition partners,Operation Okra,"Australia contributed air and ground forces to the international coalition against ISIS in Iraq and Syria, conducting airstrikes and training local forces.",Coalition partners,2014 - 2018
89,2003,2003,Australia; Papua New Guinea,Bougainville Peace Monitoring,"Australia supported peace efforts in Bougainville, Papua New Guinea, after years of conflict, facilitating the peace process and disarmament.",Australia,2003 - 2003
89,2003,2003,Australia; Papua New Guinea,Bougainville Peace Monitoring,"Australia supported peace efforts in Bougainville, Papua New Guinea, after years of conflict, facilitating the peace process and disarmament.",Papua New Guinea,2003 - 2003
90,2006,2006,Australia; Fiji; New Zealand; United Nations,Fiji Coup Crisis,"Australia condemned the military coup in Fiji, suspended defense ties, and advocated for international sanctions to restore democracy.",Australia,2006 - 2006
90,2006,2006,Australia; Fiji; New Zealand; United Nations,Fiji Coup Crisis,"Australia condemned the military coup in Fiji, suspended defense ties, and advocated for international sanctions to restore democracy.",Fiji,2006 - 2006
90,2006,2006,Australia; Fiji; New Zealand; United Nations,Fiji Coup Crisis,"Australia condemned the military coup in Fiji, suspended defense ties, and advocated for international sanctions to restore democracy.",New Zealand,2006 - 2006
90,2006,2006,Australia; Fiji; New Zealand; United Nations,Fiji Coup Crisis,"Australia condemned the military coup in Fiji, suspended defense ties, and advocated for international sanctions to restore democracy.",United Nations,2006 - 2006
91,2014,2024,Ukraine; Russia; Pro-Russian separatists,Russo-Ukrainian War,"Conflict initiated by Russia's annexation of Crimea and support for separatist movements in Eastern Ukraine, leading to ongoing hostilities.",Ukraine,2014 - 2024
91,2014,2024,Ukraine; Russia; Pro-Russian separatists,Russo-Ukrainian War,"Conflict initiated by Russia's annexation of Crimea and support for separatist movements in Eastern Ukraine, leading to ongoing hostilities.",Russia,2014 - 2024
91,2014,2024,Ukraine; Russia; Pro-Russian separatists,Russo-Ukrainian War,"Conflict initiated by Russia's annexation of Crimea and support for separatist movements in Eastern Ukraine, leading to ongoing hostilities.",Pro-Russian separatists,2014 - 2024
92,2020,2020,Armenia; Azerbaijan,Nagorno-Karabakh Conflict,"Renewed hostilities between Armenia and Azerbaijan over the disputed Nagorno-Karabakh region, leading to a ceasefire agreement brokered by Russia.",Armenia,2020 - 2020
92,2020,2020,Armenia; Azerbaijan,Nagorno-Karabakh Conflict,"Renewed hostilities between Armenia and Azerbaijan over the disputed Nagorno-Karabakh region, leading to a ceasefire agreement brokered by Russia.",Azerbaijan,2020 - 2020
93,2008,2008,Russia; Georgia,Russo-Georgian War,"A brief conflict between Russia and Georgia over the regions of South Ossetia and Abkhazia, resulting in Russian military intervention.",Russia,2008 - 2008
93,2008,2008,Russia; Georgia,Russo-Georgian War,"A brief conflict between Russia and Georgia over the regions of South Ossetia and Abkhazia, resulting in Russian military intervention.",Georgia,2008 - 2008
94,2001,2021,"Afghanistan; Taliban, Al-Qaeda, NATO",War in Afghanistan,"Following the 9/11 attacks, the U.S.-led coalition launched an invasion of Afghanistan to overthrow the Taliban regime and target Al-Qaeda.",Afghanistan,2001 - 2021
94,2001,2021,"Afghanistan; Taliban, Al-Qaeda, NATO",War in Afghanistan,"Following the 9/11 attacks, the U.S.-led coalition launched an invasion of Afghanistan to overthrow the Taliban regime and target Al-Qaeda.","Taliban, Al-Qaeda, NATO",2001 - 2021
95,1999,2009,"Russia; Chechen separatists, militants",Second Chechen War,Russia reasserted control over Chechnya after militant groups declared independence. Intense fighting persisted in the early 2000s.,Russia,1999 - 2009
95,1999,2009,"Russia; Chechen separatists, militants",Second Chechen War,Russia reasserted control over Chechnya after militant groups declared independence. Intense fighting persisted in the early 2000s.,"Chechen separatists, militants",1999 - 2009
96,2000,2005,Israel; Palestine (various factions),Second Intifada,"A period of intensified Israeli-Palestinian conflict marked by frequent clashes, suicide bombings, and military operations.",Israel,2000 - 2005
96,2000,2005,Israel; Palestine (various factions),Second Intifada,"A period of intensified Israeli-Palestinian conflict marked by frequent clashes, suicide bombings, and military operations.",Palestine (various factions),2000 - 2005
97,1999,1999,	India; Pakistan,Kargil Conflict,Skirmishes occurred near the Line of Control (LoC) in Kashmir following the official end of the Kargil War.,	India,1999 - 1999
97,1999,1999,	India; Pakistan,Kargil Conflict,Skirmishes occurred near the Line of Control (LoC) in Kashmir following the official end of the Kargil War.,Pakistan,1999 - 1999
98,2004,2005,Thailand; Southern Muslim insurgents,South Thailand Insurgency,Escalation of violence in Thailand's southern provinces involving separatist groups seeking autonomy or independence.,Thailand,2004 - 2005
98,2004,2005,Thailand; Southern Muslim insurgents,South Thailand Insurgency,Escalation of violence in Thailand's southern provinces involving separatist groups seeking autonomy or independence.,Southern Muslim insurgents,2004 - 2005
99,1996,2006,Nepal; Maoist insurgents,Nepalese Civil War,A Maoist insurgency sought to overthrow the monarchy and establish a people's republic in Nepal.,Nepal,1996 - 2006
99,1996,2006,Nepal; Maoist insurgents,Nepalese Civil War,A Maoist insurgency sought to overthrow the monarchy and establish a people's republic in Nepal.,Maoist insurgents,1996 - 2006
100,2003,2005,"Iraq; U.S.-led coalition, insurgents",Iraq War,"The U.S.-led invasion aimed to topple Saddam Hussein's regime, followed by an insurgency involving various militant groups.",Iraq,2003 - 2005
100,2003,2005,"Iraq; U.S.-led coalition, insurgents",Iraq War,"The U.S.-led invasion aimed to topple Saddam Hussein's regime, followed by an insurgency involving various militant groups.","U.S.-led coalition, insurgents",2003 - 2005
101,1999,2005,Indonesia; Free Aceh Movement (GAM),Aceh Insurgency,"A separatist conflict in Aceh, Indonesia, driven by the Free Aceh Movement demanding independence. It ended with a peace agreement in 2005",Indonesia,1999 - 2005
101,1999,2005,Indonesia; Free Aceh Movement (GAM),Aceh Insurgency,"A separatist conflict in Aceh, Indonesia, driven by the Free Aceh Movement demanding independence. It ended with a peace agreement in 2005",Free Aceh Movement (GAM),1999 - 2005
102,2004,2004,Uzbekistan; Islamic militants,Andijan Massacre,"Uzbek government forces violently suppressed a protest in Andijan against alleged corruption and economic hardships, resulting in widespread casualties.",Uzbekistan,2004 - 2004
102,2004,2004,Uzbekistan; Islamic militants,Andijan Massacre,"Uzbek government forces violently suppressed a protest in Andijan against alleged corruption and economic hardships, resulting in widespread casualties.",Islamic militants,2004 - 2004
103,2001,2005,Pakistan; Islamic militants,Waziristan Conflict,Conflict in Pakistan's tribal areas involving military operations against Al-Qaeda and Taliban militants.,Pakistan,2001 - 2005
103,2001,2005,Pakistan; Islamic militants,Waziristan Conflict,Conflict in Pakistan's tribal areas involving military operations against Al-Qaeda and Taliban militants.,Islamic militants,2001 - 2005
104,2001,2001,Macedonia; National Liberation Army (NLA),Insurgency in the Republic of Macedonia,"An armed conflict between ethnic Albanian insurgents and Macedonian security forces, leading to the Ohrid Agreement, which granted greater rights to the Albanian minority.",Macedonia,2001 - 2001
104,2001,2001,Macedonia; National Liberation Army (NLA),Insurgency in the Republic of Macedonia,"An armed conflict between ethnic Albanian insurgents and Macedonian security forces, leading to the Ohrid Agreement, which granted greater rights to the Albanian minority.",National Liberation Army (NLA),2001 - 2001
105,2002,2002,India; Pakistan,India–Pakistan Standoff,"A military standoff following the 2001 Indian Parliament attack, involving massive troop deployments along the border, raising fears of a potential war.",India,2002 - 2002
105,2002,2002,India; Pakistan,India–Pakistan Standoff,"A military standoff following the 2001 Indian Parliament attack, involving massive troop deployments along the border, raising fears of a potential war.",Pakistan,2002 - 2002
106,2004,2004,Philippines; Moro Islamic Liberation Front (MILF),Battle of Buliok Complex,"A major military offensive by the Philippine government against MILF strongholds in Mindanao, resulting in significant casualties and displacement.",Philippines,2004 - 2004
106,2004,2004,Philippines; Moro Islamic Liberation Front (MILF),Battle of Buliok Complex,"A major military offensive by the Philippine government against MILF strongholds in Mindanao, resulting in significant casualties and displacement.",Moro Islamic Liberation Front (MILF),2004 - 2004
107,2004,2004,Uzbekistan; Islamic Movement of Uzbekistan (IMU),Tashkent Bombings,"A series of coordinated bomb attacks and armed clashes in Tashkent and Bukhara, attributed to Islamist militants aiming to destabilize the government.",Uzbekistan,2004 - 2004
107,2004,2004,Uzbekistan; Islamic Movement of Uzbekistan (IMU),Tashkent Bombings,"A series of coordinated bomb attacks and armed clashes in Tashkent and Bukhara, attributed to Islamist militants aiming to destabilize the government.",Islamic Movement of Uzbekistan (IMU),2004 - 2004
108,2005,2005,"Lebanon; Syria, various Lebanese factions",Cedar Revolution,"A series of demonstrations in Lebanon triggered by the assassination of former Prime Minister Rafic Hariri, leading to the withdrawal of Syrian troops after a 29-year presence.",Lebanon,2005 - 2005
108,2005,2005,"Lebanon; Syria, various Lebanese factions",Cedar Revolution,"A series of demonstrations in Lebanon triggered by the assassination of former Prime Minister Rafic Hariri, leading to the withdrawal of Syrian troops after a 29-year presence.","Syria, various Lebanese factions",2005 - 2005
109,2006,2006,Lebanon; Israel,2006 Lebanon War,"A 34-day military conflict between Hezbollah paramilitary forces and the Israeli military, resulting in significant casualties and infrastructure damage in Lebanon.",Lebanon,2006 - 2006
109,2006,2006,Lebanon; Israel,2006 Lebanon War,"A 34-day military conflict between Hezbollah paramilitary forces and the Israeli military, resulting in significant casualties and infrastructure damage in Lebanon.",Israel,2006 - 2006
110,2008,2008,"Georgia; Russia, South Ossetian, and Abkhazian separatists",Russo-Georgian War,"A conflict over the Georgian regions of South Ossetia and Abkhazia, leading to Russian military intervention and subsequent recognition of the two regions' independence.",Georgia,2008 - 2008
110,2008,2008,"Georgia; Russia, South Ossetian, and Abkhazian separatists",Russo-Georgian War,"A conflict over the Georgian regions of South Ossetia and Abkhazia, leading to Russian military intervention and subsequent recognition of the two regions' independence.","Russia, South Ossetian, and Abkhazian separatists",2008 - 2008
111,2011,2024,"Syria; Various rebel groups, ISIS, international coalitions",Syrian Civil War,"An ongoing multi-sided civil war involving the Syrian government, opposition factions, extremist groups, and international actors, leading to a severe humanitarian crisis.",Syria,2011 - 2024
111,2011,2024,"Syria; Various rebel groups, ISIS, international coalitions",Syrian Civil War,"An ongoing multi-sided civil war involving the Syrian government, opposition factions, extremist groups, and international actors, leading to a severe humanitarian crisis.","Various rebel groups, ISIS, international coalitions",2011 - 2024
112,2013,2013,Philippines; Moro National Liberation Front (MNLF),Zamboanga City Crisis,"An armed conflict in Zamboanga City where MNLF forces attempted to declare independence, leading to a standoff with government forces and significant civilian displacement.",Philippines,2013 - 2013
